

DIST: [ 0	577	947	598	374	560	709	1208	604	695	681	1937	333	593	909	426	756	673	1590	527	484	2141	2184	408	541
	577	0	370	613	429	313	1197	1502	406	1242	960	2318	787	950	939	1000	179	96	2000	211	736	2456	2340	844	37
	947	370	0	858	750	556	1541	1765	621	1603	1251	2600	1137	1267	1125	1368	190	274	2299	494	1044	2703	2504	1189	406
	598	613	858	0	255	311	790	907	237	932	406	1742	486	1187	346	830	721	675	1447	404	256	1854	1733	1005	592
	374	429	750	255	0	226	794	1080	239	880	533	1890	402	947	599	700	578	512	1571	256	307	2036	1967	775	399
	560	313	556	311	226	0	1010	1217	94	1105	695	2047	627	1085	626	922	409	366	1743	105	491	2165	2027	933	299
	709	1197	1541	790	794	1010	0	664	983	221	448	1250	411	1098	852	424	1363	1289	895	1049	538	1494	1687	912	1162
	1208	1502	1765	907	1080	1217	664	0	1144	875	552	842	880	1715	694	1067	1626	1575	593	1302	781	956	1025	1519	1476
	604	406	621	237	239	94	983	1144	0	1095	637	1979	621	1152	535	936	490	453	1683	199	450	2087	1936	992	393
	695	1242	1603	932	880	1105	221	875	1095	0	642	1376	478	964	1046	305	1417	1338	1017	1125	677	1650	1891	795	1206
	681	960	1251	406	533	695	448	552	637	642	0	1358	379	1236	405	675	1097	1039	1049	768	230	1507	1504	1039	932
	1937	2318	2600	1742	1890	2047	1250	842	1979	1376	1358	0	1608	2336	1531	1662	2453	2397	358	2126	1582	362	987	2158	2289
	333	787	1137	486	402	627	411	880	621	478	379	1608	0	858	701	348	956	880	1266	651	255	1809	1873	661	752
	593	950	1267	1187	947	1085	1098	1715	1152	964	1236	2336	858	0	1501	676	1098	1022	1978	1015	1066	2591	2726	198	923
	909	939	1125	346	599	626	852	694	535	1046	405	1531	701	1501	0	1040	1018	988	1281	725	450	1590	1401	1311	922
	426	1000	1368	830	700	922	424	1067	936	305	675	1662	348	676	1040	0	1178	1096	1304	919	602	1917	2090	495	963
	756	179	190	721	578	409	1363	1626	490	1417	1097	2453	956	1098	1018	1178	0	84	2144	329	881	2574	2416	1008	216
	673	96	274	675	512	366	1289	1575	453	1338	1039	2397	880	1022	988	1096	84	0	2082	278	818	2527	2389	927	133
	1590	2000	2299	1447	1571	1743	895	593	1683	1017	1049	358	1266	1978	1281	1304	2144	2082	0	1815	1264	662	1129	1800	1969
	527	211	494	404	256	105	1049	1302	199	1125	768	2126	651	1015	725	919	329	278	1815	0	552	2253	2129	875	195
	484	736	1044	256	307	491	538	781	450	677	230	1582	255	1066	450	602	881	818	1264	552	0	1736	1712	872	707
	2141	2456	2703	1854	2036	2165	1494	956	2087	1650	1507	362	1809	2591	1590	1917	2574	2527	662	2253	1736	0	695	2405	2430
	2184	2340	2504	1733	1967	2027	1687	1025	1936	1891	1504	987	1873	2726	1401	2090	2416	2389	1129	2129	1712	695	0	2529	2322
	408	844	1189	1005	775	933	912	1519	992	795	1039	2158	661	198	1311	495	1008	927	1800	875	872	2405	2529	0	814
	541	37	406	592	399	299	1162	1476	393	1206	932	2289	752	923	922	963	216	133	1969	195	707	2430	2322	814	0]
	
   

QUANT: [  0	6469	7629	20036	4690	6194	11688	2243	8857	7248	3559	9221	10099	22866	3388	9986	46618	11639	1380	5261	5985	6731	2704	12250	16132
	6469	0	12999	13692	3322	55766	3878	3202	6699	4198	2454	7975	1186	7443	1162	5105	24817	6532	806	8184	3896	7333	3719	2015	565
	7629	12999	0	35135	5956	14121	5951	5768	16578	4242	3365	22254	1841	23665	6517	3541	205088	37669	2885	13200	7116	17165	4284	8085	51895
	20036	13692	35135	0	19094	35119	21423	27342	51341	15826	28537	65387	12980	44097	51525	14354	172895	37305	15418	26221	42303	35303	13618	17580	40708
	4690	3322	5956	19094	0	7284	3102	1562	7180	1917	2253	5951	1890	7097	2009	1340	25303	6031	1041	4128	5452	3344	1067	4608	7050
	6194	55766	14121	35119	7284	0	5023	3512	10419	3543	2752	14412	2043	15642	5014	2016	62034	15385	2957	5035	7482	6758	2191	6599	14181
	11688	3878	5951	21423	3102	5023	0	11557	6479	34261	10134	27350	6929	7961	4678	13511	29801	7549	5550	3089	9958	14110	4911	2722	10802
	2243	3202	5768	27342	1562	3512	11557	0	5615	7095	10753	30362	1783	3437	8897	2509	23273	5160	8750	2583	7288	17481	7930	1278	8447
	8857	6699	16578	51341	7180	10419	6479	5615	0	4448	5076	22463	4783	24609	9969	4224	79945	20001	4291	10604	11925	13091	4172	12891	19500
	7248	4198	4242	15826	1917	3543	34261	7095	4448	0	4370	17267	3929	8602	2753	20013	28080	5971	2131	3579	6809	8455	2868	2336	5616
	3559	2454	3365	28537	2253	2752	10134	10753	5076	4370	0	15287	3083	4092	7701	2809	17291	4462	3239	2309	16003	8381	3033	1755	7266
	9221	7975	22254	65387	5951	14412	27350	30362	22463	17267	15287	0	5454	15011	17714	10037	105507	20040	31780	10822	16450	92083	32908	3865	24583
	10099	1186	1841	12980	1890	2043	6929	1783	4783	3929	3083	5454	0	3251	1126	5926	10653	3062	759	1255	6173	2974	1056	1504	4588
	22866	7443	23665	44097	7097	15642	7961	3437	24609	8602	4092	15011	3251	0	5550	9473	169397	25073	1170	14272	8543	8064	1840	20618	20937
	3388	1162	6517	51525	2009	5014	4678	8897	9969	2753	7701	17714	1126	5550	0	2152	26816	6931	4947	2676	8033	12692	6157	3065	12044
	9986	5105	3541	14354	1340	2016	13511	2509	4224	20013	2809	10037	5926	9473	2152	0	21806	4519	886	1742	4782	6453	2022	3545	5065
	46618	24817	205088	172895	25303	62034	29801	23273	79945	28080	17291	105507	10653	169397	26816	21806	0	9040	11139	63153	34092	70935	14957	28398	166694
	11639	6532	37669	37305	6031	15385	7549	5160	20001	5971	4462	20040	3062	25073	6931	4519	9040	0	2802	30224	7982	14964	4589	6227	12359
	1380	806	2885	15418	1041	2957	5550	8750	4291	2131	3239	31780	759	1170	4947	886	11139	2802	0	1869	3716	11510	3519	569	3520
	5261	8184	13200	26221	4128	5035	3089	2583	10604	3579	2309	10822	1255	14272	2676	1742	63153	30224	1869	0	5020	6610	2139	5431	13541
	5985	3896	7116	42303	5452	7482	9958	7288	11925	6809	16003	16450	6173	8543	8033	4782	34092	7982	3716	5020	0	9942	3276	3820	11799
	6731	7333	17165	35303	3344	6758	14110	17481	13091	8455	8381	92083	2974	8064	12692	6453	70935	14964	11510	6610	9942	0	35285	2566	19926
	2704	3719	4284	13618	1067	2191	4911	7930	4172	2868	3033	32908	1056	1840	6157	2022	14957	4589	3519	2139	3276	35285	0	940	4951
	12250	2015	8085	17580	4608	6599	2722	1278	12891	2336	1755	3865	1504	20618	3065	3545	28398	6227	569	5431	3820	2566	940	0	6237
	16132	565	51895	40708	7050	14181	10802	8447	19500	5616	7266	24583	4588	20937	12044	5065	166694	12359	3520	13541	11799	19926	4951	6237	0  ]
       

